Activity,Resource,Data Object,Operation,Category
"Review da entrega","","","","Ignored mandatory activity"
"Planejamento de entrega","re7","","","Ignored mandatory activity"
"Atualizacao de requisitos funcionais","","Gestao","update","Ignored mandatory data access"
"Atualizacao de requisitos funcionais","","Requisito","update","Ignored mandatory data access"
"Publicar solucao","re3","","","Illegal activity"
"Publicar solucao","re6","Gestao","read","Illegal data access"
"Publicar solucao","re6","Gestao","read","Illegal data access"
"Publicar solucao","re7","Gestao","delete","Illegal data access"
"Executar teste","re7","Codigo","read","Illegal data access"
"Executar teste","re7","Requisito","read","Illegal data access"
"Executar teste","re7","Teste","read","Illegal data access"
"Executar teste","re7","Teste","update","Illegal data access"
"Atualizacao de requisitos funcionais","re10","PF","read","Illegal data access"
"Publicar solucao","re7","Gestao","update","Illegal data access"
"Executar teste","re7","Gestao","update","Illegal data access"
"Contagem de ponto de funcao","re7","","","Prohibited activity"
"Contagem de ponto de funcao","re7","","","Prohibited activity"
"Contagem de ponto de funcao","re7","","","Prohibited activity"
"Contagem de ponto de funcao","re7","","","Prohibited activity"
"Contagem de ponto de funcao","re7","","","Prohibited activity"
"Contagem de ponto de funcao","re7","","","Prohibited activity"
"Contagem de ponto de funcao","re7","","","Prohibited activity"
"Contagem de ponto de funcao","re7","","","Prohibited activity"
"Elaborar caso de teste","re7","","","Prohibited activity"
"Atualizacao de requisitos funcionais","","PF","read","Prohibited data access"
"TESTE ERRO","re7","","","Unexpected activity"
"TESTE ERRO","re7","Gestao","delete","Unexpected data access"
"TESTE ERRO","re7","Requisito","update","Unexpected data access"
"TESTE ERRO","re7","Requisito","read","Unexpected data access"
"TESTE ERRO","re7","Requisito","create","Unexpected data access"
"TESTE ERRO","re7","Codigo","read","Unexpected data access"
"TESTE ERRO","re7","Requisito","delete","Unexpected data access"
"TESTE ERRO","re7","Gestao","update","Unexpected data access"
